Date,Nickname,State,Location,Max Temperature,Average Temperature in the Previous 7 Days (Inclusive),Rainfall,Sum of Rainfall in the Previous 7 Days (Inclusive),Wind,Humidity
01/12/1951,"Molongolo Valley, Mt, Stromlo, Red Hill, Woden Valley, Tuggeranong, Mugga bushfire",Australian Capital Territory,Canberra (Since there are no records for the rest locations),23.4,20.2,0,23.1,NA,NA
05/02/1952,Benalla bushfire,Victoria,Benalla,NA,NA,0,0,NA,NA
02/01/1955,Black Sunday bushfires,South Australia,Adelaide Hills,42.8,30.49,0,0,NA,NA
30/11/1957,"1957 Grose Valley bushfire, Blue Mountains",New South Wales,Blue Mountains,30.6,25.96,0,0,NA,NA
02/12/1957,"1957 Leura bushfire, Blue Mountains",New South Wales,Leura,34.4,26.1,0,0,NA,NA
20/01/1961 - 24/01/1961,1961 Western Australian bushfires,Western Australia,Dwellingup,NA,NA,NA,NA,NA,NA
11/02/1961 - 15/02/1961,1961 Western Australian bushfires,Western Australia,Pemberton,36.1 (Max in 5 days),34.56 (Averaged),0 (Averaged),0 (Sum of 7 days),NA,NA
14/01/1962 - 16/01/1962,1962 Victorian bushfires,Victoria,"The Basin, Christmas Hills, Kinglake, St Andrews, Hurstbridge, Warrandyte,
Mitcham",40 (Max in 3 days),37.83 (Averaged),0 (Averaged),0 (Sum of 3 days),NA,NA
17/01/1965,Longwood bushfire,Victoria,Longwood,40.6,29.21,0,0,NA,NA
16/02/1965 - 13/03/1965,1965 Gippsland bushfires,Victoria,Bruthen,39.4 (Max in 26 days),29.04 (Averaged),0.25 (Averaged),6.6 (Sum of 26 days),NA,NA
16/02/1965 - 13/03/1965,1965 Gippsland bushfires,Victoria,Tambo Crossing,39.4 (Max in 26 days),29.04 (Averaged),0.48 (Averaged),12.5 (Sum of 26 days),NA,NA
05/03/1965 - 14/03/1965,Southern Highlands bushfires,New South Wales,Chatsbury,34.4 (Max in 10 days),27.49 (Averaged),0.25 (Averaged),2.5 (Sum of 10 days),NA,NA
05/03/1965 - 14/03/1965,Southern Highlands bushfires,New South Wales,Bungonia,35.6 (Max in 10 days),29.01 (Averaged),0.21 (Averaged),2.1 (Sum of 10 days),NA,NA
07/02/1967,Black Tuesday bushfires,Tasmania,Hobart,39.3,25.74,0,0,NA,NA
19/02/1968,"1968 Dandenong Ranges, The Basin, Upwey bushfire",Victoria,The Basin,32.4,31.64,0,0.5,NA,NA
19/02/1968,"1968 Dandenong Ranges, The Basin, Upwey bushfire",Victoria,Upwey,35.4,34.84,0,0,NA,NA
29/11/1968,1968 Blue Mountains Bushfire,New South Wales,Blue Mountains,29.6,22.84,0,0,NA,NA
08/01/1969,1969 bushfires,Victoria,Lara,38.9,27.69,0,0.5,NA,NA
08/01/1969,1969 bushfires,Victoria,Daylesford,35.6,27.44,0,0.3,NA,NA
08/01/1969,1969 bushfires,Victoria,Yea,37.1,28.77,0,0,NA,NA
08/01/1969,1969 bushfires,Victoria,Kangaroo Flat,37.8,29.23,0,0,NA,NA
08/01/1969,1969 bushfires,Victoria,Korong Vale,39.2,31.4,0,0,NA,NA
14/12/1972,1972 VIC bushfire,Victoria,Mount Buffalo,27.6,21.37,0,0,NA,NA
01/11/1974,"Thargomindah, Bulloo Shire, Boulia Urandangie, McKinlay Shire",Queensland,Thargomindah,26.2,32.96,0.4,0.4,NA,NA
01/11/1974,"Thargomindah, Bulloo Shire, Boulia Urandangie, McKinlay Shire",Queensland,Boulia Urandangie,29,35.63,32,32,NA,NA
25/05/1976,"Julia Creek, Coalbrook Station, Hughenden, South Burnett, Nanango, Brisbane Valley, Inglewood",Queensland,Julia Creek,28.5,28.57,0,0,NA,NA
25/05/1976,"Julia Creek, Coalbrook Station, Hughenden, South Burnett, Nanango, Brisbane Valley, Inglewood",Queensland,Hughenden,28.3,27.66,0,0,NA,NA
25/05/1976,"Julia Creek, Coalbrook Station, Hughenden, South Burnett, Nanango, Brisbane Valley, Inglewood",Queensland,South Burnett,19.8,20.71,0,14.3,NA,NA
25/05/1976,"Julia Creek, Coalbrook Station, Hughenden, South Burnett, Nanango, Brisbane Valley, Inglewood",Queensland,Nanango,21,21.93,0,24,NA,NA
25/05/1976,"Julia Creek, Coalbrook Station, Hughenden, South Burnett, Nanango, Brisbane Valley, Inglewood",Queensland,Inglewood,18,21.58,0,25.4,NA,NA
12/02/1977,Western Districts bushfires,Victoria,,,,,,,
17/12/1977,Blue Mountains Fires 1977,New South Wales,,,,,,,
01/01/1978,1978 Western Australia bushfire,Western Australia,,,,,,,
15/01/1978,1978 Bairnsdale bushfire,Victoria,,,,,,,
04/04/1978,1978 Western Australian bushfires,Western Australia,,,,,,,
28/12/1980,1980 Victoria bushfire,Victoria,,,,,,,
03/11/1980,1980 Waterfall bushfire,New South Wales,,,,,,,
09/01/1983,Grays Point bushfire,New South Wales,,,,,,,
31/01/1983,1983 Cann River bushfire,Victoria,,,,,,,
01/02/1983,1983 Victoria bushfire,Victoria,,,,,,,
16/02/1983,Ash Wednesday bushfires,Victoria,,,,,,,
16/02/1983,Ash Wednesday bushfires,South Australia,,,,,,,
25/12/1984,1984 Western New South Wales grasslands bushfires,New South Wales,,,,,,,
14/01/1985,Central Victoria bushfires,Victoria,,,,,,,
27/12/1990,1990 VIC bushfire,Victoria,,,,,,,
27/12/1993,1994 Eastern seaboard fires,New South Wales,,,,,,,
01/09/1994,East Coast Bushfires,Queensland,,,,,,,
08/01/1997,Wooroloo bushfire,Western Australia,,,,,,,
21/01/1997,Dandenongs bushfire,Victoria,,,,,,,
02/12/1997,Lithgow bushfire,New South Wales,,,,,,,
02/12/1997,Menai bushfire,New South Wales,,,,,,,
02/12/1997,Perth and South-West Region bushfires,Western Australia,,,,,,,
09/01/1998,New Year's Eve bushfire,Victoria,,,,,,,
02/12/1998,Linton bushfire,Victoria,,,,,,,
18/12/2000,2020 Victoria Dadswell Bridge bushfire,Victoria,,,,,,,
25/12/2001,Black Christmas bushfires,New South Wales,,,,,,,
17/10/2002,Granite Belt Bushfires,Queensland,,,,,,,
17/12/2002,Big Desert Fire,Victoria,,,,,,,
18/01/2003,2003 Canberra bushfires,Australian Capital Territory,,,,,,,
08/01/2003,2003 Eastern Victorian alpine bushfires,Victoria,,,,,,,
10/01/2005,2005 Eyre Peninsula bushfire,South Australia,,,,,,,
31/12/2005,2005 Victoria bushfire,Victoria,,,,,,,
06/02/2006,"Pulletop bushfire, Wagga Wagga",New South Wales,,,,,,,
01/12/2006,The Great Divides bushfire,Victoria,,,,,,,
10/01/2007,Mt Bold bushfire,South Australia,,,,,,,
04/02/2007,Dwellingup bushfire,Western Australia,,,,,,,
06/12/2007,2007 Kangaroo Island bushfires,South Australia,,,,,,,
30/12/2007,Boorabbin National Park,Western Australia,,,,,,,
13/01/2009,Port Lincoln bushfire,South Australia,,,,,,,
28/01/2009,2009 Delburn bushfire,Victoria,,,,,,,
04/02/2009,Bunyip State Park bushfire,Victoria,,,,,,,
07/02/2009,Black Saturday bushfires,Victoria,,,,,,,
19/11/2009,2009 South Australia bushfire,South Australia,,,,,,,
23/12/2009,2009 Port Lincoln bushfire,South Australia,,,,,,,
04/01/2013,Tasmanian bushfires,Tasmania,,,,,,,
18/01/2013,Warrumbungle bushfire,New South Wales,,,,,,,
17/10/2013,2013 New South Wales bushfires,New South Wales,,,,,,,
27/12/2011,Carnarvon bushfire complex,Western Australia,,,,,,,
02/01/2015,2015 Sampson Flat bushfires,South Australia,,,,,,,
29/01/2015,2015 O'Sullivan bushfire (Northcliffe – Windy Harbour),Western Australia,,,,,,,
01/08/2015,2015 Wentworthfalls Winter Fire,New South Wales,,,,,,,
15/11/2015,Perth Hills bushfire complex – Solus Group,Western Australia,,,,,,,
25/11/2015,2015 Pinery bushfire,South Australia,,,,,,,
11/02/2017,2017 New South Wales bushfires,New South Wales,,,,,,,
05/09/2019,2019–20 Australian bushfire season,Nationwide,,,,,,,
