"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","142.5","-36.6869010925293","101","38.418","20.062","0","5.69240162873063","0.203793916650689","30.9213432",
"1/2/1979","142.5","-36.6869010925293","101","30.419","13.718","0","3.94665875756316","0.413507513339988","34.46519022",
"1/3/1979","142.5","-36.6869010925293","101","37.457","11.697","0","2.22815395193724","0.353074894545003","33.70358196",
"1/4/1979","142.5","-36.6869010925293","101","42.048","18.519","0","2.68342412577468","0.250202832391186","33.4095444",
"1/5/1979","142.5","-36.6869010925293","101","44.491","20.302","0","4.17750333005503","0.216631574168622","28.23483222",
"1/6/1979","142.5","-36.6869010925293","101","36.865","20.158","0","2.66862577905558","0.29728720931116","32.70086244",
"1/7/1979","142.5","-36.6869010925293","101","41.462","21.037","0","4.37744398675726","0.288018094633844","29.348552808",
"1/8/1979","142.5","-36.6869010925293","101","35.068","16.729","0.0343322496","2.2272441515283","0.399147881617448","21.90948678",
"1/9/1979","142.5","-36.6869010925293","101","35.381","21.701","0","3.67227575649933","0.313165491681051","21.176829",
"1/10/1979","142.5","-36.6869010925293","101","31.765","16.208","0","2.96091176252546","0.346818762032462","33.68445426",
"1/11/1979","142.5","-36.6869010925293","101","33.089","13.688","0","3.31158710124176","0.359717052155769","34.3068399",
"1/12/1979","142.5","-36.6869010925293","101","32.53","13.914","0","3.44926832442467","0.377430533348186","34.0232751",
"1/13/1979","142.5","-36.6869010925293","101","38.254","12.392","0","1.70393353271385","0.333675177584724","33.2120214",
"1/14/1979","142.5","-36.6869010925293","101","39.478","20.187","0","4.77301741295567","0.168781527381888","31.1753835",
"1/15/1979","142.5","-36.6869010925293","101","38.825","16.058","0","2.20931133246642","0.357691329187245","33.21664038",
"1/16/1979","142.5","-36.6869010925293","101","40.462","18.886","0.351905976","3.7954505091718","0.26345350249769","28.13649156",
"1/17/1979","142.5","-36.6869010925293","101","28.969","17.841","0.095272056","3.65344430834602","0.44010274270675","30.29910876",
"1/18/1979","142.5","-36.6869010925293","101","38.321","13.421","0","2.13908503482554","0.287706796794443","33.56082378",
"1/19/1979","142.5","-36.6869010925293","101","38.021","20.39","0.17852778","3.51800787352871","0.318690935362339","31.1536197",
"1/20/1979","142.5","-36.6869010925293","101","29.538","16.928","16.123289616","3.70915864688603","0.684012998563707","11.91060072",
"1/21/1979","142.5","-36.6869010925293","101","25.182","14.601","0.068664564","4.82393638979233","0.60013202069091","33.0064965",
"1/22/1979","142.5","-36.6869010925293","101","29.317","13.328","0.0480651624","3.74137042770621","0.577084338996322","31.38331824",
"1/23/1979","142.5","-36.6869010925293","101","36.07","14.684","0","1.80341482943822","0.471692756556898","32.23277424",
"1/24/1979","142.5","-36.6869010925293","101","35.738","22.212","0","3.24726507903524","0.333416089755008","29.18536704",
"1/25/1979","142.5","-36.6869010925293","101","30.699","16.632","0","5.21250021320905","0.332495735767536","31.7529486",
"1/26/1979","142.5","-36.6869010925293","101","26.867","14.228","0.0102996792","4.04142358783651","0.502925042855705","32.2960626",
"1/27/1979","142.5","-36.6869010925293","101","30.132","15.436","0.089263908","4.16811519187104","0.462722932744515","31.198324212",
"1/28/1979","142.5","-36.6869010925293","101","35.116","13.806","0","2.73849287869847","0.386277204025739","31.82636556",
"1/29/1979","142.5","-36.6869010925293","101","37.782","20.897","0","2.96334908832548","0.231141546094545","28.8240228",
"1/30/1979","142.5","-36.6869010925293","101","36.53","18.703","0","3.20047259778499","0.362215069798906","31.64265036",
"1/31/1979","142.5","-36.6869010925293","101","38.523","16.815","0","2.48020166111835","0.345847762715968","23.79498174",
"2/1/1979","142.5","-36.6869010925293","101","38.094","21.027","0","3.11154407697487","0.25493353403788","31.5949482",
"2/2/1979","142.5","-36.6869010925293","101","41.732","22.425","0","3.33551710740888","0.189333648398956","31.08132468",
"2/3/1979","142.5","-36.6869010925293","101","29.179","14.891","0.662612868","5.07374568027995","0.33386398803487","19.446016248",
"2/4/1979","142.5","-36.6869010925293","101","22.576","14.512","0.154495224","4.33087287502185","0.552801124913687","21.91252608",
"2/5/1979","142.5","-36.6869010925293","101","31.671","11.755","0","2.5612908353475","0.480387690429587","30.8282094",
"2/6/1979","142.5","-36.6869010925293","101","35.666","14.082","0","2.37939274027036","0.393174742164674","30.52367244",
"2/7/1979","142.5","-36.6869010925293","101","40.383","15.58","0","2.69350742912038","0.372551479408611","30.3355656",
"2/8/1979","142.5","-36.6869010925293","101","38.065","16.257","0","3.13396089120806","0.346383430041843","30.31020288",
"2/9/1979","142.5","-36.6869010925293","101","36.89","16.295","0","2.5347726366575","0.34350610663701","30.26373912",
"2/10/1979","142.5","-36.6869010925293","101","37.179","18.787","0","3.05264946832164","0.244851041905065","30.25563804",
"2/11/1979","142.5","-36.6869010925293","101","38.178","17.125","0","3.28200436061826","0.244748182070122","30.1884264",
"2/12/1979","142.5","-36.6869010925293","101","37.437","16.623","0","2.9110799244053","0.351913470964563","29.76884676",
"2/13/1979","142.5","-36.6869010925293","101","31.758","17.777","2.1878227584","2.72963266179471","0.448312440419669","9.03988242",
